Archivo_Original;Nuevo_Nombre;Categoria;Resultado;Razon
istio\enforce-tls-hosts-host-subnets\enforce-tls-hosts-host-subnets.yaml;enforce-tls-hosts-host-subnets.yaml;istio;ACEPTADA;Estática Pura (Pattern Simple)
istio\prevent-disabling-injection-pods\prevent-disabling-injection-pods.yaml;prevent-disabling-injection-pods.yaml;istio;ACEPTADA;Estática Pura (Pattern Simple)
istio\require-authorizationpolicy\require-authorizationpolicy.yaml;require-authorizationpolicy.yaml;istio;DESCARTADA;API Call / Contexto
istio\restrict-virtual-service-wildcard\restrict-virtual-service-wildcard.yaml;restrict-virtual-service-wildcard.yaml;istio;DESCARTADA;Estructura foreach
istio\service-mesh-disallow-capabilities\service-mesh-disallow-capabilities.yaml;service-mesh-disallow-capabilities.yaml;istio;DESCARTADA;API Call / Contexto
istio\service-mesh-require-run-as-nonroot\service-mesh-require-run-as-nonroot.yaml;service-mesh-require-run-as-nonroot.yaml;istio;DESCARTADA;Usa anyPattern (Descartado en Baseline)
karpenter\add-karpenter-daemonset-priority-class\add-karpenter-daemonset-priority-class.yaml;add-karpenter-daemonset-priority-class.yaml;karpenter;DESCARTADA;Mutación/Generación
karpenter\add-karpenter-donot-evict\add-karpenter-donot-evict.yaml;add-karpenter-donot-evict.yaml;karpenter;DESCARTADA;Mutación/Generación
karpenter\add-karpenter-nodeselector\add-karpenter-nodeselector.yaml;add-karpenter-nodeselector.yaml;karpenter;DESCARTADA;Mutación/Generación
karpenter\set-karpenter-non-cpu-limits\set-karpenter-non-cpu-limits.yaml;set-karpenter-non-cpu-limits.yaml;karpenter;DESCARTADA;Mutación/Generación
kasten\kasten-3-2-1-backup\kasten-3-2-1-backup.yaml;kasten-3-2-1-backup.yaml;kasten;ACEPTADA;Estática Pura (Pattern Simple)
kasten\kasten-data-protection-by-label\kasten-data-protection-by-label.yaml;kasten-data-protection-by-label.yaml;kasten;ACEPTADA;Estática Pura (Pattern Simple)
kasten\kasten-generate-example-backup-policy\kasten-generate-example-backup-policy.yaml;kasten-generate-example-backup-policy.yaml;kasten;DESCARTADA;Mutación/Generación
kasten\kasten-generate-policy-by-preset-label\kasten-generate-policy-by-preset-label.yaml;kasten-generate-policy-by-preset-label.yaml;kasten;DESCARTADA;Mutación/Generación
kasten\kasten-hourly-rpo\kasten-hourly-rpo.yaml;kasten-hourly-rpo.yaml;kasten;DESCARTADA;API Call / Contexto
kasten\kasten-immutable-location-profile\kasten-immutable-location-profile.yaml;kasten-immutable-location-profile.yaml;kasten;ACEPTADA;Estática Pura (Pattern Simple)
kasten\kasten-minimum-retention\kasten-minimum-retention.yaml;kasten-minimum-retention.yaml;kasten;DESCARTADA;Mutación/Generación
kasten\kasten-validate-ns-by-preset-label\kasten-validate-ns-by-preset-label.yaml;kasten-validate-ns-by-preset-label.yaml;kasten;ACEPTADA;Estática Pura (Pattern Simple)
kubecost\enable-kubecost-continuous-rightsizing\enable-kubecost-continuous-rightsizing.yaml;enable-kubecost-continuous-rightsizing.yaml;kubecost;DESCARTADA;Mutación/Generación
kubecost\kubecost-proactive-cost-control\kubecost-proactive-cost-control.yaml;kubecost-proactive-cost-control.yaml;kubecost;DESCARTADA;API Call / Contexto
kubecost\require-kubecost-labels\require-kubecost-labels.yaml;require-kubecost-labels.yaml;kubecost;ACEPTADA;Estática Pura (Pattern Simple)
kubeops\config-syncer-secret-generation-from-rancher-capi\config-syncer-secret-generation-from-rancher-capi.yaml;config-syncer-secret-generation-from-rancher-capi.yaml;kubeops;DESCARTADA;Mutación/Generación
kubevirt\add-services\add-services.yaml;add-services.yaml;kubevirt;DESCARTADA;Mutación/Generación
kubevirt\enforce-instancetype\enforce-instancetype.yaml;enforce-instancetype.yaml;kubevirt;ACEPTADA;Estática Pura (Pattern Simple)
linkerd\add-linkerd-mesh-injection\add-linkerd-mesh-injection.yaml;add-linkerd-mesh-injection.yaml;linkerd;DESCARTADA;Mutación/Generación
linkerd\add-linkerd-policy-annotation\add-linkerd-policy-annotation.yaml;add-linkerd-policy-annotation.yaml;linkerd;DESCARTADA;Mutación/Generación
linkerd\check-linkerd-authorizationpolicy\check-linkerd-authorizationpolicy.yaml;check-linkerd-authorizationpolicy.yaml;linkerd;DESCARTADA;API Call / Contexto
linkerd\prevent-linkerd-pod-injection-override\prevent-linkerd-pod-injection-override.yaml;prevent-linkerd-pod-injection-override.yaml;linkerd;ACEPTADA;Estática Pura (Pattern Simple)
linkerd\prevent-linkerd-port-skipping\prevent-linkerd-port-skipping.yaml;prevent-linkerd-port-skipping.yaml;linkerd;ACEPTADA;Estática Pura (Pattern Simple)
linkerd\require-linkerd-mesh-injection\require-linkerd-mesh-injection.yaml;require-linkerd-mesh-injection.yaml;linkerd;ACEPTADA;Estática Pura (Pattern Simple)
linkerd\require-linkerd-server\require-linkerd-server.yaml;require-linkerd-server.yaml;linkerd;DESCARTADA;API Call / Contexto
nginx-ingress\disallow-ingress-nginx-custom-snippets\disallow-ingress-nginx-custom-snippets.yaml;disallow-ingress-nginx-custom-snippets.yaml;nginx-ingress;ACEPTADA;Estática Pura (Pattern Simple)
nginx-ingress\restrict-annotations\restrict-annotations.yaml;restrict-annotations.yaml;nginx-ingress;DESCARTADA;Variables dinámicas complejas
nginx-ingress\restrict-ingress-paths\restrict-ingress-paths.yaml;restrict-ingress-paths.yaml;nginx-ingress;ACEPTADA;Estática Pura (Pattern Simple)
openshift\check-routes\check-routes.yaml;check-routes.yaml;openshift;DESCARTADA;Variables dinámicas complejas
openshift\disallow-deprecated-apis\disallow-deprecated-apis.yaml;disallow-deprecated-apis.yaml;openshift;ACEPTADA;Estática Pura (Pattern Simple)
openshift\disallow-jenkins-pipeline-strategy\disallow-jenkins-pipeline-strategy.yaml;disallow-jenkins-pipeline-strategy.yaml;openshift;DESCARTADA;Variables dinámicas complejas
openshift\disallow-security-context-constraint-anyuid\disallow-security-context-constraint-anyuid.yaml;disallow-security-context-constraint-anyuid.yaml;openshift;DESCARTADA;Estructura foreach
openshift\disallow-self-provisioner-binding\disallow-self-provisioner-binding.yaml;disallow-self-provisioner-binding.yaml;openshift;DESCARTADA;Variables dinámicas complejas
openshift\enforce-etcd-encryption\enforce-etcd-encryption.yaml;enforce-etcd-encryption.yaml;openshift;DESCARTADA;Variables dinámicas complejas
openshift\inject-infrastructurename\inject-infrastructurename.yaml;inject-infrastructurename.yaml;openshift;DESCARTADA;Mutación/Generación
openshift\team-validate-ns-name\team-validate-ns-name.yaml;team-validate-ns-name.yaml;openshift;DESCARTADA;Variables dinámicas complejas
openshift\unique-routes\unique-routes.yaml;unique-routes.yaml;openshift;DESCARTADA;API Call / Contexto
other\add-certificates-volume\add-certificates-volume.yaml;add-certificates-volume.yaml;other;DESCARTADA;Mutación/Generación
other\add-default-resources\add-default-resources.yaml;add-default-resources.yaml;other;DESCARTADA;Mutación/Generación
