Feature,Midle,Turned,Value
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_resources_selector_matchExpressions_values_StringValue,ClusterPolicy_spec_rules_match_all_resources_selector_matchExpressions_values_StringValue,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_resources_selector_matchLabels,ClusterPolicy_spec_rules_match_all_resources_selector_matchLabels,matchLabels,
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_roles,ClusterPolicy_spec_rules_match_all_roles,roles,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_roles_StringValue,ClusterPolicy_spec_rules_match_all_roles_StringValue,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_subjects,ClusterPolicy_spec_rules_match_all_subjects,subjects,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_subjects_kind,ClusterPolicy_spec_rules_match_all_subjects_kind,kind,
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_subjects_name,ClusterPolicy_spec_rules_match_all_subjects_name,name,
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_subjects_apiGroup,ClusterPolicy_spec_rules_match_all_subjects_apiGroup,apiGroup,
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_subjects_namespace,ClusterPolicy_spec_rules_match_all_subjects_namespace,namespace,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any,ClusterPolicy_spec_rules_match_any,any,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_clusterRoles,ClusterPolicy_spec_rules_match_any_clusterRoles,clusterRoles,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_clusterRoles_StringValue,ClusterPolicy_spec_rules_match_any_clusterRoles_StringValue,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources,ClusterPolicy_spec_rules_match_any_resources,resources,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_annotations,ClusterPolicy_spec_rules_match_any_resources_annotations,annotations,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_kinds,ClusterPolicy_spec_rules_match_any_resources_kinds,kinds,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_kinds_StringValue,ClusterPolicy_spec_rules_match_any_resources_kinds_StringValue,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_name,ClusterPolicy_spec_rules_match_any_resources_name,name,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_names,ClusterPolicy_spec_rules_match_any_resources_names,names,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_names_StringValue,ClusterPolicy_spec_rules_match_any_resources_names_StringValue,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_namespaceSelector,ClusterPolicy_spec_rules_match_any_resources_namespaceSelector,namespaceSelector,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_namespaceSelector_matchExpressions,ClusterPolicy_spec_rules_match_any_resources_namespaceSelector_matchExpressions,matchExpressions,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_namespaceSelector_matchExpressions_key,ClusterPolicy_spec_rules_match_any_resources_namespaceSelector_matchExpressions_key,key,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_namespaceSelector_matchExpressions_operator,ClusterPolicy_spec_rules_match_any_resources_namespaceSelector_matchExpressions_operator,operator,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_namespaceSelector_matchExpressions_values,ClusterPolicy_spec_rules_match_any_resources_namespaceSelector_matchExpressions_values,values,-
