Archivo;Categoria;Resultado;Razon
other\restrict-sa-automount-sa-token\restrict-sa-automount-sa-token.yaml;other;ACEPTADA;Semántica Correcta
other\restrict-scale\restrict-scale.yaml;other;DESCARTADA;Feature fantasma: ['io_k8s_api_core_v1_Deployment_scale_status_selector', 'io_k8s_api_core_v1_Deployment_scale_spec_replicas']
restrict-secret-role-verbs.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restrict-secrets-by-label.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
other\restrict-secrets-by-name\restrict-secrets-by-name.yaml;other;DESCARTADA;Feature fantasma: ['io_k8s_api_core_v1_Pod_request_operation_']
restrict-service-account.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
other\restrict-service-port-range\restrict-service-port-range.yaml;other;ACEPTADA;Semántica Correcta
other\restrict-storageclass\restrict-storageclass.yaml;other;ACEPTADA;Semántica Correcta
other\restrict-usergroup-fsgroup-id\restrict-usergroup-fsgroup-id.yaml;other;ACEPTADA;Semántica Correcta
restrict-wildcard-resources.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restrict-wildcard-verbs.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
scale-deployment-zero.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
spread-pods-across-topology.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
sync-secrets.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
other\time-bound-policy\time-bound-policy.yaml;other;ACEPTADA;Semántica Correcta
topologyspreadconstraints-policy.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
unique-ingress-host-and-path.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
unique-ingress-paths.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
update-image-tag.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
verify-image.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
verify-image-cve-2022-42889.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
verify-image-gcpkms.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
verify-image-ivpol.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
verify-image-slsa.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
verify-image-with-multi-keys.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
verify-manifest-integrity.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
verify-sbom-cyclonedx.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
other\verify-vpa-target\verify-vpa-target.yaml;other;DESCARTADA;Feature fantasma: ['io_k8s_api_core_v1_VerticalPodAutoscaler_spec_targetRef_kind']
advanced-restrict-image-registries.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
allowed-annotations.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
allowed-base-images.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
allowed-image-repos.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
allowed-pod-priorities.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
block-cluster-admin-from-ns.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
block-ephemeral-containers.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
block-images-with-volumes.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
block-kubectl-cp.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
block-large-images.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
block-pod-exec-by-namespace.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
block-pod-exec-by-namespace-label.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
block-pod-exec-by-pod-and-container.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
block-pod-exec-by-pod-label.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
block-pod-exec-by-pod-name.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
block-updates-deletes.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
check-env-vars.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
check-hpa-exists.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
check-ingress-nginx-controller-version-and-annotation-policy.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
check-node-for-cve-2022-0185.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
check-nvidia-gpu.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
check-serviceaccount.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
artifacthub-pkg.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
check-serviceaccount-secrets.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
check-subjectaccessreview.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
deny-commands-in-exec-probe.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
artifacthub-pkg.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
deny-secret-service-account-token-type.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
disallow-all-secrets.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
disallow-localhost-services.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
disallow-secrets-from-env-vars.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
docker-socket-requires-label.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
enforce-pod-duration.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
enforce-readwriteonce-pod.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
.chainsaw.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
ensure-probes-different.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
ensure-readonly-hostpath.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
exclude-namespaces-dynamically.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
forbid-cpu-limits.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
imagepullpolicy-always.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
ingress-host-match-tls.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
limit-containers-per-pod.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
limit-hostpath-type-pv.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
limit-hostpath-vols.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
memory-requests-equal-limits.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
metadata-match-regex.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
pdb-maxunavailable.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
prevent-bare-pods.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
prevent-cr8escape.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
require-annotations.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
require-container-port-names.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
require-deployments-have-multiple-replicas.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
require-emptydir-requests-limits.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
require-image-checksum.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
require-ingress-https.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
require-non-root-groups.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
require-pod-priorityclassname.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
require-qos-burstable.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
require-qos-guaranteed.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
require-storageclass.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restrict-annotations.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restrict-binding-clusteradmin.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restrict-binding-system-groups.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restrict-clusterrole-nodesproxy.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restrict-controlplane-scheduling.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restrict-deprecated-registry.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restrict-edit-for-endpoints.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restrict-escalation-verbs-roles.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restrict-ingress-classes.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restrict-ingress-defaultbackend.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restrict-ingress-wildcard.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restrict-jobs.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restrict-loadbalancer.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restrict-networkpolicy-empty-podselector.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restrict-node-affinity.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restrict-node-label-creation.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restrict-pod-controller-serviceaccount-updates.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restrict-sa-automount-sa-token.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restrict-secret-role-verbs.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restrict-secrets-by-name.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restrict-service-port-range.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restrict-storageclass.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restrict-usergroup-fsgroup-id.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restrict-wildcard-resources.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restrict-wildcard-verbs.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
topologyspreadconstraints-policy.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
unique-ingress-paths.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
disallow-capabilities.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
pod-security\baseline\disallow-host-namespaces\disallow-host-namespaces.yaml;pod-security;ACEPTADA;Semántica Correcta
pod-security\baseline\disallow-host-path\disallow-host-path.yaml;pod-security;ACEPTADA;Semántica Correcta
pod-security\baseline\disallow-host-ports\disallow-host-ports.yaml;pod-security;ACEPTADA;Semántica Correcta
disallow-host-ports-range.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
pod-security\baseline\disallow-host-process\disallow-host-process.yaml;pod-security;ACEPTADA;Semántica Correcta
pod-security\baseline\disallow-privileged-containers\disallow-privileged-containers.yaml;pod-security;ACEPTADA;Semántica Correcta
pod-security\baseline\disallow-proc-mount\disallow-proc-mount.yaml;pod-security;ACEPTADA;Semántica Correcta
pod-security\baseline\disallow-selinux\disallow-selinux.yaml;pod-security;ACEPTADA;Semántica Correcta
pod-security\baseline\restrict-apparmor-profiles\restrict-apparmor-profiles.yaml;pod-security;ACEPTADA;Semántica Correcta
restrict-seccomp.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
pod-security\baseline\restrict-sysctls\restrict-sysctls.yaml;pod-security;ACEPTADA;Semántica Correcta
disallow-capabilities-strict.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
pod-security\restricted\disallow-privilege-escalation\disallow-privilege-escalation.yaml;pod-security;ACEPTADA;Semántica Correcta
pod-security\restricted\require-run-as-non-root-user\require-run-as-non-root-user.yaml;pod-security;ACEPTADA;Semántica Correcta
require-run-as-nonroot.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restrict-seccomp-strict.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restrict-volume-types.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
podsecurity-subrule-baseline.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restricted-exclude-capabilities.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restricted-exclude-seccomp.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restricted-latest.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
disallow-capabilities.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
disallow-host-namespaces.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
disallow-host-path.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
disallow-host-ports.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
disallow-host-process.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
disallow-privileged-containers.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
disallow-proc-mount.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
disallow-selinux.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restrict-seccomp.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restrict-sysctls.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
disallow-capabilities-strict.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
disallow-privilege-escalation.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
require-run-as-non-root-user.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
require-run-as-nonroot.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restrict-seccomp-strict.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restrict-volume-types.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
add-privileged-existing-namespaces.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
add-psa-labels.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
psa\add-psa-namespace-reporting\add-psa-namespace-reporting.yaml;psa;ACEPTADA;Semántica Correcta
deny-privileged-profile.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
add-apparmor.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
add-capabilities.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
add-runtimeClassName.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
psp-migration\check-supplemental-groups\check-supplemental-groups.yaml;psp-migration;ACEPTADA;Semántica Correcta
restrict-adding-capabilities.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
psp-migration\restrict-runtimeClassName\restrict-runtimeClassName.yaml;psp-migration;DESCARTADA;Feature fantasma: ['io_k8s_api_core_v1_Pod_request_operation_']
block-tekton-task-runs.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
tekton\require-tekton-bundle\require-tekton-bundle.yaml;tekton;DESCARTADA;Feature fantasma: ['io_k8s_api_core_v1_PipelineRun_spec_pipelineRef_bundle', 'io_k8s_api_core_v1_TaskRun_spec_taskRef_bundle']
tekton\require-tekton-namespace-pipelinerun\require-tekton-namespace-pipelinerun.yaml;tekton;DESCARTADA;Feature fantasma: ['io_k8s_api_core_v1_PipelineRun_metadata_namespace']
tekton\require-tekton-securitycontext\require-tekton-securitycontext.yaml;tekton;DESCARTADA;Feature fantasma: ['io_k8s_api_core_v1_tekton_dev_v1beta1_TaskRun_status_status_']
verify-tekton-pipeline-bundle-signatures.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
verify-tekton-taskrun-signatures.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
verify-tekton-taskrun-vuln-scan.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
disallow-default-tlsoptions.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
backup-all-volumes.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
block-velero-restore.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
validate-cron-schedule.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
windows-security\require-run-as-containeruser\require-run-as-containeruser.yaml;windows-security;ACEPTADA;Semántica Correcta
