Archivo;Categoria;Resultado;Razon
add-karpenter-nodeselector.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
set-karpenter-non-cpu-limits.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
kasten-3-2-1-backup.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
kasten\kasten-data-protection-by-label\kasten-data-protection-by-label.yaml;kasten;ACEPTADA;Semántica Correcta
kasten-generate-example-backup-policy.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
kasten-generate-policy-by-preset-label.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
kasten-hourly-rpo.yaml;Unknown;DESCARTADA;Error Traductor: argument of type 'int' is not iterable
kasten-immutable-location-profile.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
kasten-minimum-retention.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
kasten\kasten-validate-ns-by-preset-label\kasten-validate-ns-by-preset-label.yaml;kasten;ACEPTADA;Semántica Correcta
enable-kubecost-continuous-rightsizing.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
kubecost-proactive-cost-control.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
kubecost\require-kubecost-labels\require-kubecost-labels.yaml;kubecost;ACEPTADA;Semántica Correcta
config-syncer-secret-generation-from-rancher-capi.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
add-services.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
kubevirt\enforce-instancetype\enforce-instancetype.yaml;kubevirt;DESCARTADA;Feature fantasma: ['io_k8s_api_core_v1_VirtualMachine_spec_preference_name', 'io_k8s_api_core_v1_VirtualMachine_spec_instancetype_name']
add-linkerd-mesh-injection.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
add-linkerd-policy-annotation.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
check-linkerd-authorizationpolicy.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
linkerd\prevent-linkerd-pod-injection-override\prevent-linkerd-pod-injection-override.yaml;linkerd;ACEPTADA;Semántica Correcta
linkerd\prevent-linkerd-port-skipping\prevent-linkerd-port-skipping.yaml;linkerd;ACEPTADA;Semántica Correcta
linkerd\require-linkerd-mesh-injection\require-linkerd-mesh-injection.yaml;linkerd;ACEPTADA;Semántica Correcta
require-linkerd-server.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
nginx-ingress\disallow-ingress-nginx-custom-snippets\disallow-ingress-nginx-custom-snippets.yaml;nginx-ingress;DESCARTADA;Feature fantasma: ['io_k8s_api_core_v1_networking_k8s_io_v1_Ingress_metadata_annotations_KeyMap', 'io_k8s_api_core_v1_networking_k8s_io_v1_Ingress_metadata_annotations_ValueMap', 'io_k8s_api_core_v1_ConfigMap_data_']
restrict-annotations.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restrict-ingress-paths.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
openshift\check-routes\check-routes.yaml;openshift;DESCARTADA;Feature fantasma: ['io_k8s_api_core_v1_route_openshift_io_v1_Route__request_operation_']
disallow-deprecated-apis.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
disallow-jenkins-pipeline-strategy.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
disallow-security-context-constraint-anyuid.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
openshift\disallow-self-provisioner-binding\disallow-self-provisioner-binding.yaml;openshift;DESCARTADA;Feature fantasma: ['io_k8s_api_rbac_v1_ClusterRoleBinding_request_object_metadata_name_', 'io_k8s_api_rbac_v1_ClusterRoleBinding_request_object_metadata_name', 'io_k8s_api_rbac_v1_ClusterRoleBinding_request_operation_']
enforce-etcd-encryption.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
inject-infrastructurename.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
team-validate-ns-name.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
openshift\unique-routes\unique-routes.yaml;openshift;DESCARTADA;Feature fantasma: ['io_k8s_api_core_v1_route_openshift_io_v1_Route__request_operation_']
add-certificates-volume.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
add-default-resources.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
add-default-securitycontext.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
